_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,check_this_box_if_the_response_given_does_not_seem_like_a_legitimate_attempt_to_translate_the_page,check_this_box_if_there_is_text_in_the_photo,rate_the_grammarspelling_of_the_translation,orig__channel,orig__city,orig__country,orig__created_at,orig__id,orig__ip,orig__region,orig__started_at,orig__tainted,orig__trust,orig__unit_id,orig__worker_id,check_this_box_if_the_response_given_does_not_seem_like_a_legitimate_attempt_to_translate_the_page_gold,check_this_box_if_there_is_text_in_the_photo_gold,is_there_text_on_the_page,is_there_text_on_the_page_gold,rate_the_grammarspelling_of_the_translation_gold,translate_the_text_in_the_photo_as_accurately_as_possible,translate_the_text_in_the_photo_as_accurately_as_possible_gold,url
941238036,4/26/2016 20:59:26,1969603486,4/26/2016 20:59:16,false,neodev,1.0,31151596,HRV,21,Zagreb,93.141.96.1,,,,clixsense,"",VEN,4/25/2016 00:20:25,1968219720,200.109.203.93,"",4/25/2016 00:19:29,false,0.8333,939716665,37278049,,,yes,,,a pensil and a flower,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238036,4/26/2016 21:01:01,1969604355,4/26/2016 21:00:50,false,neodev,0.9375,34712671,MEX,14,Guadalajara,189.169.26.237,,check_this_box_if_there_is_text_in_the_photo,5,clixsense,"",VEN,4/25/2016 00:20:25,1968219720,200.109.203.93,"",4/25/2016 00:19:29,false,0.8333,939716665,37278049,,,yes,,,a pensil and a flower,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238036,4/26/2016 21:32:27,1969626824,4/26/2016 21:02:51,false,clixsense,0.475,30228751,VEN,07,Valencia,190.201.231.56,,check_this_box_if_there_is_text_in_the_photo,3,clixsense,"",VEN,4/25/2016 00:20:25,1968219720,200.109.203.93,"",4/25/2016 00:19:29,false,0.8333,939716665,37278049,,,yes,,,a pensil and a flower,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238036,4/26/2016 21:36:52,1969629847,4/26/2016 21:33:58,false,elite,0.85,35467348,TUR,07,Antalya,88.228.193.234,,check_this_box_if_there_is_text_in_the_photo,8,clixsense,"",VEN,4/25/2016 00:20:25,1968219720,200.109.203.93,"",4/25/2016 00:19:29,false,0.8333,939716665,37278049,,,yes,,,a pensil and a flower,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238036,4/26/2016 22:04:55,1969657166,4/26/2016 22:02:13,false,neodev,0.675,33939537,COL,34,Bogotá,186.155.67.96,,check_this_box_if_there_is_text_in_the_photo,4,clixsense,"",VEN,4/25/2016 00:20:25,1968219720,200.109.203.93,"",4/25/2016 00:19:29,false,0.8333,939716665,37278049,,,yes,,,a pensil and a flower,,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238037,4/26/2016 21:13:53,1969614331,4/26/2016 21:12:17,false,clixsense,0.9522,34951728,VEN,"","",190.198.64.11,,check_this_box_if_there_is_text_in_the_photo,10,clixsense,Guadalajara,ESP,4/25/2016 00:21:37,1968220157,83.51.2.39,54,4/25/2016 00:19:30,false,1.0,939716665,36689920,,,yes,,,"with a verse and a  pearl, a  feather an a flower",,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238037,4/26/2016 21:28:38,1969624163,4/26/2016 21:12:11,false,neodev,0.95,37429375,COL,04,Soledad,186.121.31.67,,check_this_box_if_there_is_text_in_the_photo,9,clixsense,Guadalajara,ESP,4/25/2016 00:21:37,1968220157,83.51.2.39,54,4/25/2016 00:19:30,false,1.0,939716665,36689920,,,yes,,,"with a verse and a  pearl, a  feather an a flower",,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238037,4/26/2016 21:31:36,1969626203,4/26/2016 21:28:52,false,elite,0.85,35467348,TUR,07,Antalya,88.228.193.234,,check_this_box_if_there_is_text_in_the_photo,8,clixsense,Guadalajara,ESP,4/25/2016 00:21:37,1968220157,83.51.2.39,54,4/25/2016 00:19:30,false,1.0,939716665,36689920,,,yes,,,"with a verse and a  pearl, a  feather an a flower",,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238037,4/26/2016 21:43:35,1969634505,4/26/2016 21:42:18,false,neodev,0.8458,36685380,VEN,"","",143.255.84.35,,check_this_box_if_there_is_text_in_the_photo,9,clixsense,Guadalajara,ESP,4/25/2016 00:21:37,1968220157,83.51.2.39,54,4/25/2016 00:19:30,false,1.0,939716665,36689920,,,yes,,,"with a verse and a  pearl, a  feather an a flower",,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
941238037,4/26/2016 21:48:49,1969639041,4/26/2016 21:43:00,false,clixsense,0.9,25922045,BRA,30,Recife,200.223.204.170,,check_this_box_if_there_is_text_in_the_photo,10,clixsense,Guadalajara,ESP,4/25/2016 00:21:37,1968220157,83.51.2.39,54,4/25/2016 00:19:30,false,1.0,939716665,36689920,,,yes,,,"with a verse and a  pearl, a  feather an a flower",,https://raw.githubusercontent.com/holdenmc/BookSmart/master/data/raw_input_data/spanish_books/To_Margarita/To_Margarita_0.jpg
